n_estimators,max_depth,min_samples_split,min_samples_leaf,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
50,,2,10,"73,71934433571901","395,50073049912356","319,5575763841663","73,71934433571901","362,12823081016603","319,5575763841663","73,71934433571901","63,20163961112026","69,6221009338822","67,24406357155578","65,87531535306883","75,38794967016156","86,05614525209002","88,6481959581544"
50,,2,50,"73,7982426839599","402,11644343499836","322,7549453035521","73,7982426839599","367,4501448144291","322,75494530355206","73,79824268395988","62,43027151091077","69,8999062057933","63,98532997036872","66,50357783220225","78,19376087748964","87,3043253492628","88,27052704169172"
50,"10,0",20,50,"73,86211749565624","405,0406333892071","326,40000069048733","73,86211749565624","371,3292902674812","326,4000006904873","73,86211749565622","63,232060406924674","72,08761633718146","62,675328176191286","64,73015713597947","76,51160121154474","87,21702730296983","90,58103189880217"
200,"10,0",20,10,"74,24250147351583","407,9653826708602","331,7154858779595","74,24250147351583","374,88731947546256","331,7154858779595","74,24250147351583","64,37688689208647","71,16971789188003","66,85455648222771","64,32095422823687","72,7150415100212","89,38363218214428","90,87672112801425"
50,,20,50,"74,26178988422711","401,50852548242653","322,147753872636","74,26178988422711","366,6792576541967","322,1477538726359","74,26178988422711","62,64637832039218","71,57405257864073","62,87983106342515","67,93483566016981","79,57168549372945","86,55696812185289","88,66877795137954"
50,"20,0",2,10,"74,2954889796254","395,69816242222976","321,0442234661293","74,2954889796254","363,381751723489","321,04422346612927","74,29548897962539","63,00619777252053","69,6167542302711","66,46983303669244","67,1822720257882","75,77422578177942","88,2722898876802","89,74685012264588"
500,"10,0",2,50,"74,3882498433458","405,95928697242994","327,57412532832814","74,3882498433458","372,49407004639977","327,57412532832814","74,38824984334579","63,28569859692199","71,91114630918776","62,76327607449489","66,83213295799635","77,08378913439658","88,66633849178412","90,1753673386389"
50,"10,0",2,10,"74,43848992970622","422,34122975921457","345,0992594448333","74,43848992970622","387,7406514776802","345,09925944483336","74,43848992970622","62,720333449868846","72,32420941862392","63,801047123501014","64,42343455965069","73,28065297407275","92,15472013770957","92,36503184451684"
50,"10,0",50,50,"74,50599715065896","411,54218135345457","331,68216253205907","74,50599715065896","377,04629205557404","331,68216253205907","74,50599715065894","63,17286941829995","72,73372406510394","63,269222419368454","66,61164822755791","76,3023153450478","89,60174515043605","89,85045542879854"
500,"10,0",50,50,"74,57182596345177","408,11917184694477","329,1126298008681","74,57182596345177","374,1951020925664","329,1126298008681","74,57182596345176","63,27746867877277","72,32536220879933","62,88253913473801","67,30660711634344","77,52478615563919","88,99678894002653","89,68922950984316"
500,"10,0",50,10,"74,6321223431342","421,9271164099392","341,5902532671044","74,6321223431342","386,1057040572051","341,59025326710434","74,63212234313418","64,4597077749107","73,79375747282522","66,36311719831102","64,1839701876117","73,6292329293916","89,35261648585912","90,64245435302993"
500,"20,0",20,10,"74,6551682406361","395,15209920491924","320,57734611842255","74,6551682406361","362,8424619133558","320,57734611842255","74,65516824063612","63,17490504999281","69,74007522129075","67,04180242492424","67,68541437480864","76,94802323147616","88,69132486477605","89,3046325171841"
200,"20,0",2,10,"74,65704552912707","394,55654155527554","319,58316259913346","74,65704552912707","361,91142137816513","319,58316259913346","74,65704552912709","63,18167259212004","69,79950577347228","67,47564880648119","67,69139374012192","77,08906078391885","88,50624693030454","88,85579007747073"
200,,2,10,"74,69750900993927","395,54231188001467","320,5538576814373","74,69750900993927","363,10920781705323","320,5538576814373","74,69750900993925","63,19572964868436","69,46476494743233","67,14200815050577","67,65880094344776","76,81847513068988","89,25952489826894","89,34325935054576"
200,"20,0",2,50,"74,70035667929733","403,50452209181265","323,92552619665037","74,70035667929733","368,7174856837429","323,92552619665037","74,70035667929733","62,725772588899886","71,24800413370598","64,89746490207143","67,68299488337101","79,4048391385781","88,13273965534859","88,81068145310627"
50,"10,0",2,50,"74,70149796648995","410,16093182750336","331,4447769672575","74,70149796648995","376,869006965713","331,4447769672575","74,70149796648995","63,274013467015166","72,97843786211018","62,887647973141895","67,59086650573539","76,3880172264512","89,391950255367","90,39955247560887"
200,"10,0",2,50,"74,71656640768339","405,7084062780697","326,49580860471633","74,71656640768339","371,2655823419189","326,49580860471633","74,7165664076834","63,27706867533532","72,2294420359299","65,13170293793317","66,92550903281858","77,84631832729198","88,39365788944656","89,21226595502819"
50,,20,10,"74,73565988854362","395,54880605043564","320,0952140374249","74,73565988854362","362,8108013144735","320,0952140374249","74,73565988854362","63,495048739259346","70,35970152207206","67,37117174849344","67,08900407851357","77,20095560128908","88,02257233129329","89,61116519888459"
50,"20,0",50,10,"74,75868136075988","408,4447498066998","330,9815841407069","74,75868136075988","375,08248685769144","330,98158414070684","74,75868136075988","64,29639555282245","70,38436928291075","66,14363305489172","67,14179369309576","78,1743085790316","87,01657686439873","90,15369249816814"
500,"20,0",2,10,"74,8183242852499","395,3951648259949","320,7067442729316","74,8183242852499","363,0077806684582","320,7067442729316","74,8183242852499","63,20536125038951","69,68790768561232","67,2195384616051","67,60856135021577","77,282580970454","89,46457833260466","89,2597419458679"
500,"20,0",2,50,"74,81902470751075","404,0924066893144","324,5920780719242","74,81902470751075","369,1588386440541","324,5920780719242","74,81902470751075","62,81509408819455","71,34656879662245","64,85216136454812","67,73554459196244","79,86342501082824","88,1628853012333","88,95749379918615"
500,"10,0",20,50,"74,82667981404634","409,2306838192952","330,89448789892566","74,82667981404634","375,5397163489684","330,89448789892566","74,82667981404636","63,34923677102472","72,3361067609748","64,25078147432035","67,2515500559318","77,38915486668452","89,2907405972716","89,91918817211669"
500,"20,0",50,50,"74,86241513265726","404,04581521811133","324,6940258958641","74,86241513265726","369,3377247442074","324,6940258958642","74,86241513265726","62,98692128928815","71,46441776393124","65,02877450051123","67,80107254436179","79,52749269220155","88,16615887527838","89,06206826302846"
500,,2,50,"74,91571683245265","404,8881457359853","325,1635304895482","74,91571683245265","369,8921293939306","325,1635304895482","74,91571683245265","62,88233588634138","71,57184025993888","64,92248147419397","67,91203989994182","79,85088387406647","88,18985424787283","89,08058218481318"
200,,20,10,"74,93150218525453","396,5493320051138","321,42204238509095","74,93150218525453","363,9620989889274","321,42204238509095","74,93150218525453","63,43040474913806","69,2929844868525","67,24069043556561","68,46401124194865","77,69357060126126","89,41986512979165","88,97898865222393"
500,"20,0",20,50,"74,94853694547932","404,8208380254706","325,1672512940445","74,94853694547932","369,7585265294808","325,1672512940445","74,94853694547932","62,84351139292449","71,64043443698768","65,0516908466594","67,89084757953677","80,01786475637533","88,2750061770069","88,9204034288647"
500,,20,10,"74,9556890065715","395,0095326326249","320,4035708391989","74,9556890065715","362,547306045974","320,40357083919884","74,95568900657152","63,195287602415114","69,52487760994477","67,44048743684047","68,23810876387793","77,45236518366879","89,572532486624","89,26616396262946"
200,"20,0",20,10,"74,95827905092335","397,5279885994791","322,21991177965015","74,95827905092335","364,9455818123577","322,2199117796501","74,95827905092334","63,383869197715946","69,94686910368512","67,04521037140285","68,01875543946484","77,02801842967904","89,68312133540508","89,60210947911054"
200,"10,0",20,50,"74,97219690391066","411,6392327066594","332,5017025288164","74,97219690391066","377,32101917689175","332,50170252881645","74,97219690391067","63,3490134337101","72,5197960396273","64,62569519723971","67,4286915116543","77,71070219680291","89,42180268204147","89,74967726629879"
200,,50,50,"74,98565190225264","405,9099514029805","326,30152669332244","74,98565190225264","371,00067012812775","326,30152669332244","74,98565190225266","62,78558001497083","71,88364200215791","64,83229791890457","67,89006264284527","80,21173078884112","88,12786450011141","89,1683854479374"
50,"20,0",2,50,"75,0033670715678","405,6235793798682","326,69963193641024","75,0033670715678","370,87109135001214","326,6996319364102","75,00336707156781","62,84737142499244","71,55273117409924","65,32060686439526","67,66157988956991","80,16172695392731","88,14935400052772","89,33019919346275"
200,,2,50,"75,00544469740515","407,32528113213914","328,0275894679467","75,00544469740515","372,36868742477014","328,0275894679467","75,00544469740514","62,82291982714717","71,28510361271012","64,96860254405892","67,76725126462918","80,200014295932","88,50308430789968","89,49113702945897"
500,,50,50,"75,0118228347327","405,081178446119","325,5656114060497","75,0118228347327","369,9585572178257","325,56561140604964","75,01182283473271","62,95334934506944","71,65955677902437","65,1363844521229","68,1455686208196","80,1191101785418","88,1594989207036","88,90929154684724"
200,"10,0",50,50,"75,03669323062834","410,83673101154443","331,55361309271393","75,03669323062834","376,3200094701593","331,55361309271393","75,03669323062834","63,25472708914128","72,72520456023882","64,84974505917165","67,52925028836974","77,9124789563491","88,93557760019804","90,04986906092978"
200,"20,0",50,50,"75,04983339805307","405,88185008557446","326,5282974055219","75,04983339805307","370,9624960238007","326,528297405522","75,04983339805305","63,05717284255493","71,64845648460748","64,8203556155139","67,73543041910617","79,91591951820578","88,69615284896804","89,47534605741512"
50,"20,0",20,50,"75,06736870784482","403,42539052455265","325,44921604669946","75,06736870784482","368,87475543050016","325,44921604669946","75,06736870784482","63,14807094839854","71,53454460752843","64,74126739972276","68,24849033630339","80,08204298114276","88,30270318043492","89,41446150138293"
500,,20,50,"75,07713003277809","405,88570868090153","326,00784749192076","75,07713003277809","370,6935216864029","326,0078474919207","75,07713003277809","63,13901163347687","71,91422755360043","65,00195858226982","68,01631441310018","79,9845944613275","88,42195899178782","89,06184459388405"
200,,20,50,"75,13867390569855","405,9138088105726","326,4353028947247","75,13867390569855","370,886575711448","326,43530289472466","75,13867390569855","63,04913357351889","71,72776955470621","65,17830578032655","67,94640420119327","80,30725629611032","88,56346040246183","89,19838753157276"
200,,50,10,"75,15501168250587","405,55756680066975","327,8780680027112","75,15501168250587","371,7315469524341","327,8780680027112","75,15501168250587","63,52786165415145","70,26481170547113","66,80835744988008","67,99141594555839","78,83934939619729","89,56304468415982","89,09024094212297"
50,"10,0",2,1,"75,19069256218876","435,2160858977576","354,25097833294063","75,19069256218876","398,43618085634495","354,25097833294063","75,19069256218877","64,57789645659575","69,96801003551398","68,4825706719498","67,37162489520405","73,13077913295993","90,72043893817289","92,08352780492496"
500,,50,10,"75,26864009517632","407,0064493191554","329,4537956961912","75,26864009517632","373,0228446389313","329,45379569619115","75,26864009517632","63,653621878723484","70,84091113360257","66,80565552369882","68,2068720372164","78,94146648552234","88,86778127027867","89,56417233719193"
200,"20,0",20,50,"75,27303368075304","407,92606482726364","328,2260341490752","75,27303368075304","372,7029468410886","328,22603414907513","75,27303368075306","63,082466176740105","72,17677254828635","65,47123234207399","67,90312536420467","80,69248753043652","88,46820963717536","89,1169421663543"
500,,2,10,"75,27364182351309","397,5706032638219","322,25199840160496","75,27364182351309","364,68181033185425","322,2519984016049","75,27364182351309","63,53619431004971","69,90402430648615","67,38660663250255","68,72621611749025","77,76469071121936","90,40920813613054","89,18855255071301"
200,"10,0",2,10,"75,29039645621572","422,1935656208357","344,00810076642676","75,29039645621572","386,93309066217677","344,00810076642676","75,29039645621572","64,68564694422719","73,59764346151736","67,9188342742952","64,25010846268692","73,02987418168249","91,78119962533215","91,76946824376871"
500,"20,0",50,10,"75,35308494525671","407,97577073445797","330,8770305483051","75,35308494525671","374,1674582037179","330,877030548305","75,35308494525673","63,51704627298967","70,84574745094395","67,09166273805293","68,29939249820842","78,9531092372279","88,95774322188424","89,80689319748988"
500,"10,0",20,10,"75,38381260375286","418,6787953703542","340,2369409821522","75,38381260375286","383,92881180283285","340,23694098215225","75,38381260375287","64,40384174817262","73,43983178698082","68,32671766401799","64,66549259930949","73,20143903438495","92,6085605944893","91,04080479891492"
200,"10,0",20,1,"75,38807831770225","426,517264635801","346,2344482500556","75,38807831770225","390,4338321316996","346,2344482500556","75,38807831770225","64,81904313818384","73,01579407225275","69,94440897434848","64,74661314315401","72,67719487672838","90,82448052577797","91,68901349347037"
500,"10,0",20,1,"75,39402402016968","423,3336755737133","344,34437286424816","75,39402402016968","387,9249327918461","344,3443728642481","75,3940240201697","64,8055051403302","70,39833713547881","70,98117031844349","67,0191917436269","72,08791543654341","90,7574495018005","91,7085988649645"
50,"20,0",50,50,"75,40748552023031","414,09205719025033","333,21918860673543","75,40748552023031","378,2249825853461","333,2191886067354","75,40748552023032","62,75926087398437","71,95970862535374","66,09498581725873","67,8388058615925","80,91516354286539","89,05424677120388","89,23022714935365"
500,"10,0",2,10,"75,44807842498062","414,2953138029732","336,35303887388153","75,44807842498062","379,5803329643673","336,35303887388153","75,44807842498062","64,49110198276566","73,41110248110823","67,65101055535462","64,85891474934837","73,93425465269162","92,76808585658152","91,02207869701434"
50,"10,0",50,10,"75,58636488073256","435,6864076885961","353,9997156505342","75,58636488073256","399,1743448639966","353,9997156505342","75,58636488073257","64,46705621126003","73,96935355172123","63,496825187628346","65,3226531941267","75,4087784107679","95,06465221675317","91,37523539287065"
50,,50,50,"75,59991946163734","411,25186533784085","331,2761426972497","75,59991946163734","375,6633626198515","331,2761426972497","75,59991946163734","63,877756733480894","72,77249848007864","65,46821811984908","68,01403798409804","80,65430580407462","88,57649539553148","89,83612371434864"
500,"10,0",2,1,"75,62429959546394","427,05352334667487","347,62036002572404","75,62429959546394","391,62926208743926","347,6203600257241","75,62429959546395","64,52097111241775","71,50199094549384","70,87702097935932","67,11206951528281","72,6408689723489","90,90882325477736","91,80835238856758"
200,"10,0",50,10,"75,6374795201556","429,94792496246816","349,6718078993307","75,6374795201556","394,29598724735433","349,6718078993307","75,6374795201556","64,39962760474165","73,8862115129192","66,66432032443535","65,34967174988826","74,69785912157144","92,99913915511986","91,46552717241339"
50,"10,0",20,10,"75,65153945452572","416,8805154699927","338,3484993832184","75,65153945452572","381,53945198013054","338,34849938321844","75,65153945452572","63,22434058261462","73,10973930906266","67,92168420780236","64,88523398747817","73,72638165044401","95,265089626001","91,42830681827716"
50,"20,0",20,10,"75,67272105365262","396,8308312594538","321,32888303645217","75,67272105365262","364,09250869321284","321,3288830364522","75,67272105365262","63,44476493592691","69,01362580426179","67,85448296547068","69,8933829765214","78,71072574804171","91,6101925038216","89,18187244152425"
500,"10,0",50,1,"75,68369621310329","438,92018835593353","356,9453433257534","75,68369621310329","401,59815705955424","356,9453433257534","75,68369621310327","65,19464689143754","74,28465715887415","71,3621931866827","66,74745028794604","72,90007651951458","87,88878612011263","91,40806332715539"
50,,50,10,"75,70561545078044","405,08545499958404","327,580750349129","75,70561545078044","370,83307959957693","327,580750349129","75,70561545078044","63,99303017733464","71,47937008758672","67,22967258013928","69,52852071319688","78,57036946490666","89,92794969054611","89,21039544175278"
200,"20,0",50,10,"75,74651744401234","409,21715312018955","332,2836689293494","75,74651744401234","375,32099583092815","332,2836689293494","75,74651744401235","63,725933693283196","70,82490464556469","67,26454455153214","69,04539130337753","79,81380670092048","89,41829867677276","90,13274253663562"
200,"10,0",2,1,"75,93612092968696","423,32167153406965","344,58571582799266","75,93612092968696","388,4393426249996","344,5857158279927","75,93612092968696","64,6603350451529","73,31652722839061","69,87667503726026","66,72856370430114","72,59605729459844","92,25537109555819","92,11931710254724"
50,,20,1,"75,99935456272533","428,24599576491806","346,65640266263705","75,99935456272533","390,4446460259757","346,65640266263705","75,99935456272533","63,61274173761937","68,93307368178088","70,65286573104466","70,46606643394699","79,73159382337364","88,15060571579666","90,44853481551516"
200,"20,0",20,1,"76,07539794657679","414,5610251304995","335,53227082490264","76,07539794657679","379,1772251858558","335,5322708249027","76,07539794657679","63,561810782164834","67,99916539009229","70,48586793866252","67,8963347194631","79,34970894750421","91,41400194949996","91,82089589865058"
200,"20,0",2,1,"76,13351074922012","419,92796008512005","337,7199168443452","76,13351074922012","380,5483398764048","337,71991684434516","76,13351074922012","62,184851572123044","67,67854324428703","72,57315259625632","71,87646549381404","78,57031776811675","90,93931045346564","89,11193411647798"
50,"10,0",50,1,"76,14924215568877","449,1789066593519","365,8675825653918","76,14924215568877","411,89075353064396","365,86758256539173","76,14924215568878","64,77102469992141","74,93057811547364","71,39311648649657","65,8924378928877","75,51195273685954","89,23322130816906","91,3123638500135"
500,,20,1,"76,26821697877187","419,95356066460124","339,7891713647016","76,26821697877187","383,2748093357288","339,78917136470153","76,26821697877187","62,57025476939865","67,95683092256508","70,92523123465082","69,63816423877878","80,62601898092959","90,91971571253143","91,24130299254873"
50,,50,1,"76,54477565285993","435,6315201040135","354,2674730699039","76,54477565285993","398,56897806259065","354,2674730699038","76,54477565285993","63,04649944565003","69,41793052416509","71,54213240243996","71,94442694694493","79,7939997310229","89,26779693226871","90,8006435875279"
50,"20,0",2,1,"76,54868668330735","428,8150580061566","352,53626375594894","76,54868668330735","393,6904043965447","352,53626375594894","76,54868668330735","63,66394902659258","67,02117141699183","72,03300887275495","70,3175456016562","78,76423314896431","91,81742005379134","92,22347866240021"
500,"20,0",20,1,"76,58817022560748","417,0732047222184","338,7060674369366","76,58817022560748","381,61733338561805","338,7060674369367","76,58817022560747","63,80456387032399","69,92612495332583","70,54294175387494","69,60222507228525","79,30847532262186","91,10941841312109","91,8234421936994"
50,"20,0",50,1,"76,70560571491515","429,86940090184794","347,7639296674945","76,70560571491515","393,28317827207997","347,76392966749455","76,70560571491517","64,77505185553487","72,89161041675578","70,34789520802101","68,39893117744009","79,75132713567584","89,04375612706798","91,73066808391053"
500,"20,0",50,1,"76,78124148724295","427,9847431672138","346,0969282476959","76,78124148724295","390,7727704736695","346,09692824769587","76,78124148724295","64,22744444863633","71,69599880413651","70,47807668968817","70,87621697128012","79,02804505749538","89,15838256489431","92,00452587456984"
200,"20,0",50,1,"76,87006825948016","433,91171120422","353,5069229295949","76,87006825948016","396,3873870116141","353,5069229295949","76,87006825948015","63,38144970707407","71,09706612197729","71,14824902396498","69,48224873989831","81,8607249389531","89,83486381394249","91,2858754705509"
500,"20,0",2,1,"76,89481882632066","415,51255899276356","334,9555905033619","76,89481882632066","377,9999318955298","334,955590503362","76,89481882632064","62,823978906628405","69,93954312942579","71,40981869061306","70,77102574919982","79,50129893528005","92,38490265624318","91,43316371685425"
200,"10,0",50,1,"77,05733919462574","456,1597778677881","374,0710519210425","77,05733919462574","418,2755611138547","374,0710519210425","77,05733919462575","65,22977270424363","74,45634351445037","72,27776060354742","69,9440550440502","75,53538549662326","90,47897249661438","91,47908450285098"
50,"10,0",20,1,"77,15122882828591","449,6519431187711","369,0424495500797","77,15122882828591","412,70607377919123","369,04244955007965","77,1512288282859","66,07296056608872","75,583915344571","70,40942942079056","65,67009722496097","72,70148352864604","96,18625454490798","93,43446116803602"
50,"20,0",20,1,"77,30844117392176","427,666411456417","345,6803045550539","77,30844117392176","388,5773650723335","345,68030455505397","77,30844117392176","64,207001281837","68,1158866300689","71,93952306091398","73,93659992781194","80,03663301528925","91,10078878003785","91,82265552149345"
200,,2,1,"77,59174447810054","429,86609439630274","347,1214771175112","77,59174447810054","389,16378849251475","347,1214771175111","77,59174447810054","62,831594091036195","69,30800222911603","72,53051123983667","74,22761757319549","81,49521338119646","92,38281539213637","90,36645744018647"
500,,50,1,"77,88399747917661","450,86026796298654","367,43527407590216","77,88399747917661","411,28584528993736","367,43527407590216","77,88399747917661","63,8772975117934","71,02097699415518","73,15438643944708","72,26417603564116","82,68728718291837","90,35147855815387","91,83237963212731"
200,,50,1,"77,95377817162395","441,9554523887931","357,36673073417217","77,95377817162395","400,9549718259563","357,36673073417217","77,95377817162395","63,788048949784205","70,40380804633944","72,73570630782814","72,78209533313","83,41700713151732","91,55157435791811","90,99820707485048"
200,,20,1,"78,00358518365007","448,119731397711","364,0031199780668","78,00358518365007","404,8531666702535","364,0031199780669","78,00358518365007","62,741620393680286","68,10567618414657","72,64137271655423","74,58521722418038","83,60295220880705","93,24484736999582","91,1034101881861"
50,,2,1,"78,4525380514286","446,2701660895245","362,8629403334077","78,4525380514286","405,6256377455182","362,8629403334077","78,4525380514286","63,235296246466184","68,98118939205335","73,54968758096851","72,52575348221731","84,6936756677901","94,4785293571984","91,70363463330634"
500,,2,1,"78,5399831161156","454,2881175040511","369,35154903414644","78,5399831161156","411,75779884826665","369,35154903414656","78,53998311611561","62,8080622926802","69,65845432656491","73,48585236495367","74,92872433897165","81,92825486313933","94,56832859665424","92,40220502984516"
