kernel,C,gamma,epsilon,degree,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
poly,"1,0",scale,"0,5",2,"53,03082248446277","317,23992615028726","245,70403117644145","53,03082248446277","290,1423164426141","245,70403117644148","53,03082248446276","51,63355174550006","43,12370170048139","42,54775747123364","41,90937129061757","43,47704765873111","63,18780761865126","85,33651990602434"
poly,"1,0",scale,"0,01",2,"53,03331433948698","317,23998098646086","245,72069588952962","53,03331433948698","290,1455045502087","245,72069588952962","53,03331433948698","51,63546294158883","43,12627254870611","42,54752374634097","41,911774041130464","43,48103143283369","63,18336217166674","85,34777349414205"
poly,"1,0",scale,"0,1",2,"53,03359414676865","317,25064343838693","245,72549488538553","53,03359414676865","290,15313543805195","245,72549488538556","53,03359414676866","51,63505389346599","43,126404706106165","42,54903709317672","41,9121746634925","43,48056190887071","63,186891216849176","85,34503554541931"
poly,"1,0",auto,"0,5",2,"53,377110998762774","321,513659410521","249,3880692422371","53,377110998762774","294,0848255205092","249,38806924223704","53,377110998762774","51,88249698190991","43,51642684728654","42,89151885964387","42,47265024782509","43,6630693171666","63,18151942662898","86,03209531087847"
poly,"1,0",auto,"0,1",2,"53,37713640942309","321,5265770774811","249,39472565234342","53,37713640942309","294,08948280619876","249,39472565234342","53,37713640942309","51,879586317487494","43,51465230637054","42,891403454698434","42,47378167933822","43,664036788232835","63,18103283165766","86,03546148817644"
poly,"1,0",auto,"0,01",2,"53,37833401108501","321,5415642716363","249,40806241727182","53,37833401108501","294,1019586891606","249,4080624172718","53,37833401108501","51,88000806380029","43,51492615040137","42,89294212105","42,475120100351646","43,66513988817748","63,18375120914246","86,03645054467185"
poly,"0,1",scale,"0,01",2,"57,110793386872544","356,61162871102044","282,5391783493759","57,110793386872544","328,58603707949607","282,5391783493759","57,11079338687255","55,51106887695818","47,965850394937576","49,814079284066764","46,65402939836221","45,25394627048743","64,9855048480027","89,59107463529298"
poly,"0,1",scale,"0,5",2,"57,11206110051893","356,6219852551367","282,55123211799275","57,11206110051893","328,5959588576683","282,5512321179927","57,11206110051893","55,51191353834102","47,967154174967725","49,81489417521642","46,65527862488579","45,254931192139765","64,98740557755531","89,59285042052647"
poly,"0,1",scale,"0,1",2,"57,1150343036668","356,6474045607164","282,57991636237114","57,1150343036668","328,62175399018815","282,5799163623711","57,11503430366679","55,51477069246096","47,970311530716955","49,81745040686761","46,65792696216266","45,25755913072289","64,99087296491155","89,59634843782496"
poly,"0,1",auto,"0,1",2,"57,12455187937978","356,8637908553984","282,6619171893547","57,12455187937978","328,83928707675335","282,6619171893547","57,12455187937977","55,551487662528324","48,01305022693764","49,9142527683741","46,68134544857615","45,22316200485058","64,9501492440059","89,53841580038572"
poly,"0,1",auto,"0,01",2,"57,124754041689826","356,86626869389727","282,6642572238377","57,124754041689826","328,8414830609969","282,66425722383775","57,124754041689826","55,55161877857463","48,01324317784976","49,91433515181616","46,68156542933035","45,22336803345304","64,95040291587334","89,53874480493153"
poly,"0,1",auto,"0,5",2,"57,13164153650807","356,9214428789659","282,72882431931964","57,13164153650807","328,8973777278737","282,72882431931964","57,13164153650808","55,558200826952714","48,02084125045572","49,91952749213363","46,687620036651516","45,22883095096144","64,95924404288476","89,5472261555167"
poly,"10,0",auto,"0,1",2,"57,71559927316095","296,3733713931683","227,51683017229158","57,71559927316095","274,2540346932575","227,51683017229155","57,71559927316095","51,779586955450796","52,16691766563255","56,526857935815336","46,53022421629974","53,19990495807013","66,17705729215537","77,62864588870275"
poly,"10,0",auto,"0,01",2,"57,718934430880026","296,3829177751861","227,52552130993598","57,718934430880026","274,26352644461497","227,525521309936","57,718934430880026","51,78336081527281","52,169357585293724","56,52988629268868","46,53205040478902","53,201010089986184","66,18169299775514","77,63518283037465"
poly,"10,0",auto,"0,5",2,"57,73682358137165","296,4373717778078","227,573862172467","57,73682358137165","274,3153834622693","227,57386217246696","57,73682358137166","51,79829057862726","52,211507335777355","56,577174312229516","46,55727971201759","53,22808997707496","66,17166633275438","77,61375682112053"
poly,"10,0",scale,"0,5",2,"58,55195613196539","298,91454740812367","229,71507356368386","58,55195613196539","276,49120133811897","229,7150735636839","58,55195613196539","52,48344863413321","53,70110198983372","58,00212202687425","47,477833634033786","54,20593565081458","66,72766453142154","77,26558645664669"
poly,"10,0",scale,"0,01",2,"58,55649604576593","298,94257839051267","229,72445600676076","58,55649604576593","276,5140487454381","229,72445600676073","58,55649604576593","52,487827303522124","53,71405751160898","58,014085167674324","47,504641776652775","54,21600923356011","66,71706651985079","77,24178480749241"
poly,"10,0",scale,"0,1",2,"58,563367487628796","298,9586629633118","229,74183290348236","58,563367487628796","276,5315097188082","229,7418329034824","58,56336748762879","52,492591065968796","53,7280456623278","58,02715925969939","47,50368490359945","54,22156830179273","66,72544599504582","77,24507722496753"
poly,"50,0",auto,"0,01",2,"77,98949625870621","346,46948837508876","278,11675106282826","77,98949625870621","322,1797651808207","278,1167510628282","77,98949625870621","74,23051921988764","71,78933464151848","88,85869471637173","65,68366274132603","69,38238140749401","85,66130883480437","90,32057224954123"
poly,"50,0",auto,"0,1",2,"77,99027414987667","346,4891543733999","278,14071162450887","77,99027414987667","322,19919941005713","278,14071162450887","77,99027414987667","74,2320258356688","71,78591453999744","88,87409348910495","65,6960756957739","69,38477714337151","85,67392558491346","90,28510676030665"
poly,"50,0",auto,"0,5",2,"78,01445117637456","346,6037703595406","278,25686594874895","78,01445117637456","322,3083553511711","278,25686594874895","78,01445117637456","74,25121472146057","71,80328021227123","88,91892604991988","65,7278839907883","69,4091632050027","85,71040785605999","90,28028219911926"
poly,"50,0",scale,"0,5",2,"79,96508236758521","352,00777986431126","284,0938080333771","79,96508236758521","327,83708903054765","284,0938080333771","79,96508236758521","76,53746745154108","73,7872643683069","90,82133948986403","67,51359781197132","70,97558882750009","87,8699628009811","92,25035582293202"
poly,"50,0",scale,"0,1",2,"80,07598628051792","352,4801570320217","284,5466270271104","80,07598628051792","328,3023525958798","284,5466270271104","80,07598628051792","76,6781829064949","73,94744264039309","90,98659200991017","67,64500119189084","71,10710832310022","87,75453807329377","92,41303881854246"
poly,"50,0",scale,"0,01",2,"80,07934337809142","352,532532961621","284,6003418037935","80,07934337809142","328,3548047562911","284,6003418037935","80,07934337809141","76,69088135114984","73,95713230216256","91,00169569450759","67,65886926569485","71,12099639633678","87,68905281959698","92,43677581719133"
