max_depth,learning_rate,n_estimators,subsample,colsample_bytree,avg_smape,avg_weekly_rmse,avg_weekly_mae,avg_weekly_smape,avg_daily_rmse,avg_daily_mae,avg_daily_smape,avg_smape_day_1,avg_smape_day_2,avg_smape_day_3,avg_smape_day_4,avg_smape_day_5,avg_smape_day_6,avg_smape_day_7
7,"0,05",400,"1,0","0,7","62,069702083396876","372,0032472368856","256,61381259228074","62,069702083396876","300,9912496061274","256,6138125922807","62,06970208339688","47,13215428129105","46,72083346963821","61,30281466908429","53,338648069042016","70,36072048929965","74,03319384872883","81,5995497566941"
7,"0,05",200,"1,0","0,7","62,174302335090076","370,90994052692287","256,70503891929485","62,174302335090076","300,9502180664148","256,70503891929485","62,17430233509008","47,25887652983499","46,463648107017676","61,68162421657132","53,52373117964751","70,23440890263367","74,67568002202984","81,38214738789551"
7,"0,05",200,"0,9","0,7","62,18408849351148","371,2272016504555","256,9176646765727","62,18408849351148","301,6494960558087","256,91766467657266","62,18408849351148","47,16935504637611","46,509295268589284","61,616860449299615","53,23473069748023","70,56292798200819","75,19147978731863","81,00397022350828"
7,"0,05",600,"1,0","0,7","62,220160946079275","372,59041280114667","256,40813707326834","62,220160946079275","301,28735950171546","256,40813707326834","62,22016094607927","46,89589606471023","46,942687685942985","61,733651036661584","53,23869408135455","70,80831927211852","74,4152489677187","81,50662951404834"
7,"0,05",400,"0,9","0,7","62,333836035721845","372,67856222242597","257,03845890283446","62,333836035721845","302,07145600905267","257,0384589028344","62,33383603572185","46,69559072652123","46,53670936341901","61,47354024244187","53,173347432655405","70,50463359263527","75,39037146979565","82,56265942258449"
7,"0,2",600,"0,9","1,0","62,60821231709373","379,7427818611459","258,59817746910386","62,60821231709373","306,0799878941235","258,59817746910386","62,608212317093724","46,533118286626426","46,069448195055614","61,14575620680981","53,44239057107777","71,771425436431","73,71204359329028","85,58330393036519"
7,"0,05",400,"0,9","1,0","62,61292535893938","374,86559106453683","259,02603436727026","62,61292535893938","304,49973837893305","259,0260343672702","62,61292535893938","47,43771276957449","45,78459702553144","61,77484667502735","54,711276250235926","70,94207232517086","75,62850322821785","82,01146923881771"
7,"0,05",600,"0,9","1,0","62,61474456046005","375,4074767950218","258,6786211039512","62,61474456046005","304,2624016502481","258,6786211039511","62,61474456046005","47,24256407934895","45,86960184435212","61,77920925651532","54,41870037433907","70,94766295846105","74,7256590276308","83,31981438257307"
7,"0,05",600,"0,9","0,7","62,68256360424999","374,4267037522703","258,46966587562173","62,68256360424999","303,7075887380389","258,46966587562173","62,68256360424999","46,818778410838284","46,93202880684596","61,949428411813315","53,721458306201114","71,39810395959128","75,11081732564858","82,84733000881138"
7,"0,1",200,"0,7","0,7","62,72522360786425","374,3563442261255","257,629396097988","62,72522360786425","303,04065283795495","257,629396097988","62,72522360786426","46,32779615662716","47,71994000904757","61,49515351221433","53,29706702680201","72,81414687949808","74,54028338476735","82,88217828609328"
7,"0,2",400,"0,9","1,0","62,795861842433425","380,441245884412","259,3484708938388","62,795861842433425","306,8900561976344","259,34847089383874","62,79586184243341","47,058564521588025","46,03975295690657","61,473126931718625","53,1433399109644","71,65193553375222","74,96823758395155","85,23607545815253"
7,"0,1",400,"0,7","1,0","62,80542313312087","370,6006829783939","256,685703552996","62,80542313312087","302,6788217470217","256,685703552996","62,805423133120875","47,697406044879344","45,87240018079848","61,290688029172586","54,927066808399964","70,87613259063463","76,7960234796245","82,17824479833658"
3,"0,05",200,"1,0","1,0","62,80943460338969","344,80500743560543","254,40765609365315","62,80943460338969","292,68222004746184","254,40765609365312","62,80943460338968","50,86854368536194","47,25630504184537","60,43836912179134","54,715386401849436","69,13533735124051","76,0236024137937","81,22849820784552"
7,"0,05",200,"0,7","0,7","62,819840446693064","385,16692183877115","261,68912020375217","62,819840446693064","308,2275407243079","261,68912020375217","62,81984044669306","47,14439633167052","46,85091568853052","62,8155373363286","53,67961806556892","70,91535500668432","76,81726447323217","81,51579622483635"
3,"0,2",200,"1,0","0,7","62,82213715087883","383,1606816260887","260,3587500537887","62,82213715087883","307,17497226052234","260,3587500537887","62,822137150878824","48,17731548797606","45,80521092937566","60,522039158412156","52,907539842027575","73,45538664430754","79,29098425546553","79,59648373858727"
5,"0,2",600,"1,0","0,7","62,85172973819433","386,64372372155435","259,3156922165995","62,85172973819433","307,8577494309506","259,3156922165995","62,85172973819433","44,82337483274279","46,60363030540465","61,311351877539266","53,897237711647065","72,76595849372998","78,21543013452418","82,34512481177238"
5,"0,2",400,"0,9","1,0","62,85513756835097","398,9530825018456","265,2787114323288","62,85513756835097","314,8995123075542","265,2787114323288","62,85513756835097","47,02767308010051","46,24977250905228","61,533803534713314","52,25220140970102","72,58062433298554","76,41333905961152","83,92854905229257"
7,"0,1",200,"0,7","1,0","62,87492068961437","371,00541419156275","257,34828187712526","62,87492068961437","302,80441963568694","257,34828187712526","62,87492068961438","47,55473764393513","46,09261598979698","62,4157024570171","54,985260236853755","69,91961616607378","77,02557431062675","82,1309380229971"
7,"0,05",400,"0,7","0,7","62,88328250493672","387,9355718839129","261,93459928900904","62,88328250493672","309,1935647038676","261,93459928900904","62,88328250493672","46,71140323566906","47,11065441164396","61,97175415955815","53,63950762816228","71,75185446122143","77,40168933910121","81,59611429920096"
7,"0,2",600,"0,9","0,7","62,95731172325061","381,89182184811307","259,1492768836621","62,95731172325061","306,81936033388746","259,1492768836621","62,957311723250605","46,771041188822515","47,781781308825416","59,56496974617579","56,41189346210421","71,60100395486272","75,9734244019121","82,59706800005156"
7,"0,1",200,"0,9","0,7","62,96524249224599","373,8622277440727","257,5863358935769","62,96524249224599","301,87036365888525","257,586335893577","62,965242492245984","46,22487433633289","46,679097344127385","61,11490782472792","54,09485984032443","71,54481900859878","78,87607216987455","82,22206692173593"
5,"0,2",600,"0,7","0,7","62,9656608668252","392,11360581947804","261,9241970650055","62,9656608668252","312,4873034833524","261,9241970650055","62,96566086682521","46,141645416791555","48,227611831481624","60,38222901634899","53,454901381702136","73,27437475237844","77,73102688666775","81,54783678240598"
7,"0,05",200,"0,9","1,0","62,98581301432563","372,5410723037116","259,0661727861666","62,98581301432563","303,9797168934794","259,06617278616665","62,98581301432563","47,68611286193925","45,67278142579282","62,47070980245104","55,0459656681864","70,5633722696088","76,79189820381282","82,66985086848831"
3,"0,1",200,"0,9","1,0","62,992746144150175","374,2591882080287","263,3482002912247","62,992746144150175","305,38023117745337","263,34820029122477","62,99274614415018","49,17804012340562","46,683495447106154","63,01511193627307","55,60573961465472","70,60435876349919","75,67045477980444","80,19202234430799"
7,"0,1",600,"0,9","1,0","62,99292610024743","379,8510222017081","259,1185988171764","62,99292610024743","307,13680744024924","259,1185988171764","62,99292610024742","47,84336402212577","46,141586135932755","61,89652289312386","53,57900950049235","71,17997893200393","75,89372720916984","84,41629400888345"
7,"0,05",600,"0,7","0,7","62,995685299442854","387,90359716404953","261,69144358094155","62,995685299442854","309,3410151742479","261,69144358094155","62,99568529944286","46,61433436800739","46,81338538547176","62,48968282916684","54,26807754499434","71,82684745829053","77,34040889612304","81,6170606140461"
5,"0,2",600,"0,9","1,0","62,99869573564428","400,50400941895896","265,26397887617327","62,99869573564428","315,9910658291237","265,2639788761733","62,99869573564428","46,64237652454105","46,88161899960472","61,826928479141145","51,98128542253651","73,57363553599808","76,09428335712465","83,99074183056385"
7,"0,1",400,"0,9","1,0","63,01737280633951","382,2584146538662","259,8220108899238","63,01737280633951","307,9213366994927","259,8220108899238","63,01737280633951","47,83231696454404","46,27618267681283","62,008569839421156","53,2602115614316","71,00597272927253","76,41101828980884","84,32733758308558"
5,"0,1",400,"0,9","0,7","63,02220581625008","381,2063878902383","259,82343043178014","63,02220581625008","306,59323520621456","259,82343043178014","63,022205816250086","46,9012117942796","47,09407530770268","60,99860321304561","55,24886415544857","73,91289454884281","77,79904454817878","79,20074714625247"
7,"0,2",400,"0,9","0,7","63,040390988598205","381,56114558670856","259,200837539503","63,040390988598205","306,6815040058505","259,2008375395031","63,0403909885982","46,84430425032542","47,77309515372819","59,70132296228687","56,13265659465553","71,62460845749973","76,22264221711367","82,98410728457802"
5,"0,2",200,"1,0","0,7","63,04202626620744","384,9017439918666","259,4015629171183","63,04202626620744","306,99629301444736","259,4015629171184","63,042026266207436","44,814397287904455","46,6993081514062","61,33223351719245","54,23832646209744","72,52262781629732","79,68264286859667","82,00464775995758"
7,"0,1",600,"1,0","1,0","63,0774471253352","376,8823668570443","259,8076932605596","63,0774471253352","305,8706230795925","259,8076932605596","63,0774471253352","48,568953049547346","45,58741029862372","62,5940027653548","54,39555087121306","70,3790214660433","75,58897623642207","84,42821519014207"
7,"0,2",200,"0,9","0,7","63,102987396694274","382,02815418968385","259,73612511506144","63,102987396694274","307,0050289129682","259,73612511506144","63,10298739669429","46,85267263128151","48,04781530364937","59,729675965303606","55,943198508105596","72,36813227124978","76,25066193469371","82,5287551625764"
7,"0,1",200,"0,9","1,0","63,10528112295423","379,707547639996","260,0352278285474","63,10528112295423","307,3317299009905","260,0352278285474","63,10528112295423","48,400768078855","46,2900419784712","62,55415573223037","53,5895981036178","70,32831654555184","76,08005974912453","84,49402767282885"
7,"0,1",600,"0,7","1,0","63,114598979391374","370,5186070489089","256,94328556621485","63,114598979391374","302,7647135646295","256,9432855662149","63,11459897939137","47,53896708649539","46,10598764523402","62,20809209249802","56,13084107567526","70,73020974106171","76,60110920509864","82,48698600967658"
5,"0,1",600,"0,7","0,7","63,11649763777693","386,3018207133579","261,4482825520122","63,11649763777693","308,3562161678305","261,4482825520122","63,11649763777694","45,68169281748449","46,735660666707744","62,43773175839475","55,75779544212324","74,91270192992911","77,2527128388746","79,03718801092461"
5,"0,2",200,"0,7","0,7","63,12861464095941","391,8396863516814","263,1234581681784","63,12861464095941","312,2570931332563","263,1234581681784","63,128614640959405","46,524039939912164","47,7753660848551","60,28973154073786","53,75873734662385","73,68598575890073","79,03071466924892","80,8357271464372"
3,"0,05",400,"0,7","1,0","63,13286592035848","367,65213702315293","261,3671647013878","63,13286592035848","303,31669268195645","261,3671647013878","63,13286592035848","49,55225497868241","47,59386506270012","61,949274602597995","54,480903409831384","69,90038217856535","78,73563243545132","79,71774877468079"
7,"0,05",600,"1,0","1,0","63,15213131586699","377,5250561578314","260,4522377732866","63,15213131586699","306,35707115081175","260,4522377732865","63,152131315866995","47,69764036167683","45,9063522469243","63,38049003349688","55,59991408746951","69,22890368688573","75,15844525556082","85,09317353905485"
7,"0,1",600,"0,7","0,7","63,15357867969937","376,968892140319","258,65949368355024","63,15357867969937","304,8136463432996","258,65949368355024","63,15357867969937","46,613064511984746","47,909257285095435","62,3015299244208","53,70046229292174","72,87457825981822","74,61886743281757","84,05729105083711"
7,"0,1",400,"0,9","0,7","63,17462971746569","376,54939514469163","258,9307971099762","63,17462971746569","303,6129855258259","258,9307971099762","63,17462971746569","46,44363439754778","47,04474797222678","61,3126797972497","54,14843267578934","72,32919771102914","78,37881742452741","82,56489804388971"
7,"0,05",200,"1,0","1,0","63,178560575508754","374,5004875645859","260,254769184484","63,178560575508754","305,5373879671219","260,25476918448396","63,17856057550875","48,047522982880665","46,257931265954554","62,44322655621517","55,60941311548327","69,81293337180769","75,92529644811567","84,15360028810424"
3,"0,2",600,"1,0","0,7","63,18479151627491","383,32654475169227","259,7693795669526","63,18479151627491","307,49374340385305","259,7693795669526","63,18479151627492","46,59823055933826","45,98175114187704","61,57344111514084","54,091409355929","75,9933963377159","77,0544056487777","81,00090645514572"
7,"0,05",200,"0,7","1,0","63,18901790856952","374,76511383000286","260,4263712941914","63,18901790856952","305,954770523721","260,4263712941914","63,18901790856952","48,10351133270757","45,96100783781249","62,54975390183737","54,841556103211076","71,30219667540084","77,46697401374267","82,09812549527462"
7,"0,05",400,"1,0","1,0","63,192306592183165","375,6490833998801","259,97443271256554","63,192306592183165","305,46029791568907","259,97443271256554","63,19230659218316","47,43977395161885","46,20073374994661","62,76307280582655","55,73971001442892","69,55952689202516","75,79138840978607","84,85194032164996"
7,"0,2",200,"0,9","1,0","63,19973035764103","382,11247010249315","261,1219085426907","63,19973035764103","307,70179023332486","261,1219085426907","63,19973035764104","47,4088706465008","46,54782460293569","62,38121481768952","52,4635519013265","71,65326593335888","77,25205687732372","84,6913277243521"
5,"0,1",200,"0,7","0,7","63,23391625164601","380,8236129412091","261,62887648745686","63,23391625164601","306,8510859084855","261,6288764874568","63,233916251646015","46,44584694881129","47,220826089308375","62,23674457555854","56,17360594616274","72,93751897984595","78,18711850200405","79,43575271983113"
5,"0,2",400,"1,0","0,7","63,23499313118559","386,21820242638364","259,8989334466489","63,23499313118559","307,81816480395213","259,898933446649","63,23499313118559","44,94230296842052","46,51933215424668","61,58756130208387","54,11986456655858","72,900619068841","79,84817985731","82,72709200083847"
7,"0,1",400,"1,0","1,0","63,237637717051285","376,52032384379334","260,21535707987516","63,237637717051285","306,1396186379956","260,21535707987516","63,23763771705128","48,35861312908443","45,97981213878013","63,03665690202763","54,80457108144351","70,62941454009581","76,00680497241608","83,84759125551135"
3,"0,05",200,"0,7","1,0","63,2677350537911","341,4547467658581","254,82593162669679","63,2677350537911","292,5788345496868","254,82593162669679","63,26773505379109","50,66997375778643","48,27282707252389","60,13550115574976","55,24736692532767","68,7372319805632","78,02705623226552","81,78418825232123"
7,"0,1",200,"1,0","1,0","63,27031858179659","376,833944488538","261,10521868975184","63,27031858179659","306,666547995936","261,10521868975184","63,27031858179659","48,95651584181233","45,97167429973366","62,829352715194545","54,92554560591938","70,56391248030647","76,50278268940026","83,14244644020948"
5,"0,1",200,"0,9","0,7","63,28712459940974","374,64519558248026","259,36510135956615","63,28712459940974","304,4055526149867","259,36510135956615","63,287124599409744","47,07107621267961","47,073617277653426","60,71504798299758","55,65553727745258","73,33373515630475","78,69746521356475","80,46339307521546"
5,"0,2",400,"0,7","0,7","63,301170223249386","393,6721438560478","263,6078434989266","63,301170223249386","313,72119457412145","263,60784349892657","63,30117022324938","46,2373951889948","47,785716014882226","61,451035030221576","53,593636099342234","73,86604268727983","78,56359683791149","81,61076970411352"
3,"0,05",200,"0,9","1,0","63,31130494903977","336,3077011198981","252,6556489640471","63,31130494903977","290,09384601966013","252,6556489640471","63,31130494903976","50,406645674328644","48,66916007848793","59,86975204329384","55,81574732468792","69,44710968816","77,17411394496963","81,79660588935042"
7,"0,2",400,"1,0","1,0","63,32417342467899","375,2784683962335","259,76010710060586","63,32417342467899","306,15145079912","259,7601071006058","63,32417342467899","47,42634458606733","47,673334080530424","62,40166964970438","56,11427760805962","71,99220058284307","72,8768283872568","84,78455907829132"
3,"0,05",200,"0,9","0,7","63,326431215161016","368,82713041093564","260,9716881611561","63,326431215161016","304,1460996207231","260,9716881611561","63,32643121516101","49,71844358744198","46,67396420748563","61,28424193019841","56,353341591391114","70,67047344098967","77,80694650262255","80,77760724599776"
7,"0,1",400,"0,7","0,7","63,33192688882648","377,1991977222218","258,82714666176616","63,33192688882648","304,7860428336636","258,8271466617661","63,33192688882649","46,32990369326636","48,079211201180065","62,23049558281467","53,76827773310916","73,41179544809961","75,77533721967339","83,72846734364214"
7,"0,2",600,"1,0","1,0","63,35957112365291","373,8005415423562","259,1419929703867","63,35957112365291","305,24203116725675","259,1419929703867","63,35957112365291","47,38192082472111","47,74814214160527","62,43473579503208","56,27819723649844","72,15001054264417","73,33487013278949","84,18912119227984"
5,"0,1",400,"0,7","0,7","63,368203108049315","384,673433471747","261,81542701462877","63,368203108049315","308,2713088413644","261,81542701462877","63,368203108049315","45,97523595113827","46,99960161909392","62,18975993565619","55,670278367761085","75,025662589511","78,4521652691611","79,26471802402364"
7,"0,2",400,"0,7","0,7","63,37198522320855","377,6312230684275","258,58272274201397","63,37198522320855","306,1653052106284","258,58272274201397","63,37198522320855","47,56758854429562","48,649802483210244","60,639737481377296","54,24422034968934","72,73421086978","76,62491587314092","83,14342096096641"
7,"0,1",600,"0,9","0,7","63,3806908885784","377,21520067935626","259,1790207815902","63,3806908885784","303,9734803293472","259,17902078159017","63,38069088857839","46,35210566998377","47,353477426756015","62,10280879519496","54,48676254613767","72,28060847953354","78,23691989790845","82,85215340453433"
7,"0,1",600,"1,0","0,7","63,415543884657836","383,94080269119314","260,44709727819964","63,415543884657836","307,6471459735311","260,4470972781996","63,415543884657836","46,998416321259135","47,63286981127883","62,53005240851465","53,91946215185942","71,81577509119906","78,79597169874603","82,21625970974775"
7,"0,1",400,"1,0","0,7","63,42903218983272","383,89580539555357","260,4490710616621","63,42903218983272","307,3747218005234","260,44907106166204","63,42903218983271","46,758744355424206","47,71433710135173","62,42845775678102","53,48098188252683","72,0036216859079","78,80279421600805","82,81428833082927"
3,"0,1",200,"0,7","1,0","63,43514505432408","378,7871759515174","266,2293131897036","63,43514505432408","308,6207582586516","266,2293131897036","63,43514505432409","49,39899007079898","48,059707140669246","64,03863332410205","54,29314968386031","70,03093181753647","78,31670068292979","79,90790266037175"
5,"0,1",600,"0,9","0,7","63,44363900571394","385,070520654572","261,4947859430514","63,44363900571394","308,6719051276806","261,4947859430514","63,44363900571394","46,97810214108729","46,757634151857516","61,87941722911428","55,01672738071061","74,15794258348151","78,62019641835198","80,69545313539446"
7,"0,1",200,"1,0","0,7","63,47799789029661","382,9412748621593","260,5244276379433","63,47799789029661","307,12950001417664","260,52442763794335","63,477997890296606","46,88915898003337","47,79401734165698","62,26915304736654","53,43543409392245","72,68455037590812","79,02658198459179","82,24708940859703"
7,"0,05",600,"1,0","0,9","63,49524383651905","390,4649666494789","264,35505110755093","63,49524383651905","311,9219430709014","264,355051107551","63,495243836519066","47,524418803306254","46,940119278919525","63,13612365223544","55,038234074838414","72,29005766755051","76,15776139123184","83,37999198755143"
7,"0,05",400,"0,7","1,0","63,54473698180963","377,1198957267562","261,35367974586865","63,54473698180963","306,9543118242661","261,35367974586865","63,54473698180963","47,840194883682","46,230957846768064","62,825247279651265","55,80100685739768","73,13420079367623","77,28854742746327","81,69300378402885"
5,"0,05",200,"0,9","0,7","63,624569301462785","373,96697045600354","261,49028728999485","63,624569301462785","305,0933617065858","261,4902872899948","63,62456930146278","47,892243472399144","46,47625491076923","61,514858767490665","56,84752208109272","72,99608924537668","79,14120869080247","80,50380794230853"
7,"0,2",200,"1,0","1,0","63,62716574079176","373,9311168571952","259,8344748725748","63,62716574079176","305,6966884265795","259,8344748725748","63,62716574079176","47,77031922415692","47,20023836630757","63,14758620322837","56,24536663365639","72,45025422416231","73,95835523087422","84,61804030315653"
5,"0,2",600,"0,9","0,7","63,63331703830282","397,49422134207293","263,17420061995966","63,63331703830282","313,1410133388936","263,17420061995966","63,63331703830282","46,30501209697971","47,440911079611915","62,90708252729505","55,66042395765031","75,33437723931524","76,88200094481408","80,90341142245344"
7,"0,05",400,"1,0","0,9","63,633652288150586","388,578684698619","263,96657367283194","63,633652288150586","311,2376825557941","263,966573672832","63,63365228815058","47,53359931721158","46,81922274350806","62,92259331835849","55,070497740699025","72,33689104778901","77,83759025709287","82,91517159239504"
5,"0,2",200,"0,9","1,0","63,657923077493976","397,19740087051713","266,04639988952124","63,657923077493976","315,0639711391055","266,04639988952124","63,65792307749398","47,251383699083355","46,18413130334692","61,512490656468096","52,83166383930461","73,44642744715577","81,2518661224164","83,12749847468272"
7,"0,05",200,"0,9","0,9","63,67643664981084","387,0370409145451","265,1644768333741","63,67643664981084","311,3577002432431","265,1644768333741","63,67643664981084","48,250141614367166","47,55424245596447","62,61471536676318","55,010533189530655","72,41586824554575","77,94630579515554","81,94324988134915"
7,"0,1",200,"1,0","0,9","63,678379721369524","388,68587123956013","264,1611666571631","63,678379721369524","310,96600767474746","264,16116665716305","63,678379721369524","47,46296992746963","47,71093389768406","62,0533023297732","54,86413084643386","73,65044308255968","76,735275990716","83,27160197495022"
3,"0,2",400,"1,0","0,7","63,678777724101664","386,7226104550956","261,97766296208187","63,678777724101664","309,64408342176176","261,97766296208187","63,67877772410167","46,703879329750436","46,39245795413433","62,13132252747434","54,474171407422794","76,41792707022378","79,18683516573648","80,44485061396949"
7,"0,05",400,"0,9","0,9","63,693702799691565","387,49025840404886","265,5510647946095","63,693702799691565","311,65122821195365","265,5510647946095","63,69370279969157","47,865409877986934","48,17065585865923","62,84333323025353","55,20647891164437","73,00839241190829","76,77120663020531","81,99044267718335"
7,"0,05",200,"0,7","0,9","63,69565249427747","383,7801539628881","263,15102503035473","63,69565249427747","309,4463626100957","263,1510250303548","63,695652494277475","47,41888239542314","47,146290017767456","62,49445543316378","54,51638417775503","72,39647834800292","79,17660798563944","82,72046910219052"
7,"0,2",600,"0,7","0,7","63,70659552094066","378,5786937217173","259,542229819749","63,70659552094066","306,9370051616973","259,542229819749","63,70659552094066","47,98162761036703","48,55564951520559","60,90194878163857","55,47104817701163","73,4963016036599","76,59512265534876","82,94447030335314"
7,"0,1",600,"1,0","0,9","63,71344788761799","387,471237316956","263,18678263674775","63,71344788761799","310,06637656255305","263,18678263674775","63,71344788761798","47,2870835980235","47,41439457449226","61,91487092880524","54,93010427306263","72,8589295693643","77,06698298521246","84,52176928436546"
